name,slicetype,slicearg,splittype,splitarg,recall,searchtime
exhaustive,,0.0,,0.0,1.0,51.462708
SlicedEvaluation,F,4.0,F,1.2,0.9994,139.14062
SlicedEvaluation,F,4.0,F,1.5,0.99289376,79.273895
SlicedEvaluation,F,4.0,F,2.0,0.6994563,48.19667
SlicedEvaluation,F,4.0,F,3.0,0.3737375,38.495525
SlicedEvaluation,F,4.0,F,4.0,0.35648125,33.522163
SlicedEvaluation,F,4.0,D,4.0,0.6522875,30.156898
SlicedEvaluation,F,4.0,D,8.0,0.38395,22.18926
SlicedEvaluation,F,4.0,D,12.0,0.33855626,16.775478
SlicedEvaluation,F,6.0,F,1.2,0.04799375,150.8457
SlicedEvaluation,F,6.0,F,1.5,0.99846876,81.03916
SlicedEvaluation,F,6.0,F,2.0,0.98770624,53.193638
SlicedEvaluation,F,6.0,F,3.0,0.6814625,36.257866
SlicedEvaluation,F,6.0,F,4.0,0.44195,32.682144
SlicedEvaluation,F,6.0,D,4.0,0.9033625,34.192066
SlicedEvaluation,F,6.0,D,8.0,0.653825,26.50835
SlicedEvaluation,F,6.0,D,12.0,0.391975,24.00603
SlicedEvaluation,F,8.0,F,1.2,0.00983125,121.932175
SlicedEvaluation,F,8.0,F,1.5,0.9995375,69.29952
SlicedEvaluation,F,8.0,F,2.0,0.99689376,50.09274
SlicedEvaluation,F,8.0,F,3.0,0.8602875,39.91441
SlicedEvaluation,F,8.0,F,4.0,0.7026188,35.46166
SlicedEvaluation,F,8.0,D,4.0,0.9848875,38.02756
SlicedEvaluation,F,8.0,D,8.0,0.875725,27.834206
SlicedEvaluation,F,8.0,D,12.0,0.58928126,24.44166
SlicedEvaluation,F,10.0,F,1.2,0.00729375,78.54613
SlicedEvaluation,F,10.0,F,1.5,0.0199375,52.45275
SlicedEvaluation,F,10.0,F,2.0,0.99854374,39.47795
SlicedEvaluation,F,10.0,F,3.0,0.99144375,32.571274
SlicedEvaluation,F,10.0,F,4.0,0.9047125,27.495575
SlicedEvaluation,F,10.0,D,4.0,0.99255,30.544306
SlicedEvaluation,F,10.0,D,8.0,0.94665,22.430525
SlicedEvaluation,F,10.0,D,12.0,0.7121125,21.300756
SlicedEvaluation,F,12.0,F,1.2,0.0052,142.32483
SlicedEvaluation,F,12.0,F,1.5,0.01629375,100.50899
SlicedEvaluation,F,12.0,F,2.0,0.99939376,72.95637
SlicedEvaluation,F,12.0,F,3.0,0.9968187,57.99898
SlicedEvaluation,F,12.0,F,4.0,0.9913875,51.966953
SlicedEvaluation,F,12.0,D,4.0,0.99595624,55.28511
SlicedEvaluation,F,12.0,D,8.0,0.9691375,47.01306
SlicedEvaluation,F,12.0,D,12.0,0.86015624,43.962658
SlicedEvaluation,D,10.0,F,1.2,0.0458625,116.657875
SlicedEvaluation,D,10.0,F,1.5,0.9997375,63.43434
SlicedEvaluation,D,10.0,F,2.0,0.9808375,45.6526
SlicedEvaluation,D,10.0,F,3.0,0.708,31.480585
SlicedEvaluation,D,10.0,F,4.0,0.694975,26.447819
SlicedEvaluation,D,10.0,D,4.0,0.87406874,29.071411
SlicedEvaluation,D,10.0,D,8.0,0.7011312,26.32177
SlicedEvaluation,D,10.0,D,12.0,0.58741874,21.313362
SlicedEvaluation,D,12.0,F,1.2,0.00879375,146.85599
SlicedEvaluation,D,12.0,F,1.5,0.99990624,100.08354
SlicedEvaluation,D,12.0,F,2.0,0.99935,79.04022
SlicedEvaluation,D,12.0,F,3.0,0.8748125,68.44878
SlicedEvaluation,D,12.0,F,4.0,0.76173127,64.34207
SlicedEvaluation,D,12.0,D,4.0,0.9953125,65.600525
SlicedEvaluation,D,12.0,D,8.0,0.89558125,55.69097
SlicedEvaluation,D,12.0,D,12.0,0.66935,44.265236
SlicedEvaluation,D,14.0,F,1.2,0.006575,130.53104
SlicedEvaluation,D,14.0,F,1.5,0.01960625,91.71257
SlicedEvaluation,D,14.0,F,2.0,0.99973124,63.987007
SlicedEvaluation,D,14.0,F,3.0,0.9978875,47.408886
SlicedEvaluation,D,14.0,F,4.0,0.97730625,41.277386
SlicedEvaluation,D,14.0,D,4.0,0.997425,44.387238
SlicedEvaluation,D,14.0,D,8.0,0.975925,34.041836
SlicedEvaluation,D,14.0,D,12.0,0.84678125,29.45881
SlicedEvaluation,D,16.0,F,1.2,0.00600625,136.17607
SlicedEvaluation,D,16.0,F,1.5,0.01335,95.5475
SlicedEvaluation,D,16.0,F,2.0,0.9998875,70.65863
SlicedEvaluation,D,16.0,F,3.0,0.9989875,54.355473
SlicedEvaluation,D,16.0,F,4.0,0.99765,48.81704
SlicedEvaluation,D,16.0,D,4.0,0.99834377,52.209755
SlicedEvaluation,D,16.0,D,8.0,0.98885626,40.31256
SlicedEvaluation,D,16.0,D,12.0,0.96898127,34.131123
SlicedEvaluation,D,20.0,F,1.2,0.00438125,135.35614
SlicedEvaluation,D,20.0,F,1.5,0.01123125,100.58544
SlicedEvaluation,D,20.0,F,2.0,0.01719375,73.16373
SlicedEvaluation,D,20.0,F,3.0,0.9996625,53.790432
SlicedEvaluation,D,20.0,F,4.0,0.999025,48.085533
SlicedEvaluation,D,20.0,D,4.0,0.99925,50.39666
SlicedEvaluation,D,20.0,D,8.0,0.99485624,37.58321
SlicedEvaluation,D,20.0,D,12.0,0.98623127,33.87121
